"block_timestamp_date","total_txs","500_520_fee_per_byte","98_109_fee_per_byte","29_32_fee_per_byte","24_34_44_fee","317_453_fee","500_520_perc_fee_per_byte","98_109_perc_fee_per_byte","29_32_perc_fee_per_byte","24_34_44_perc_fee","317_453_perc_fee"
2023-03-02,15689,276,776,68,492,61,1.75919433998343,4.94614060806935,0.433424692459685,3.13595512779654,0.388807444706482
2023-03-03,14412,287,748,59,499,49,1.99139605883986,5.19011934499029,0.409381071329448,3.4623924507355,0.339994449070219
2023-03-04,11639,158,588,50,354,25,1.35750494028697,5.0519804106882,0.429590170976888,3.04149841051637,0.214795085488444
2023-03-05,13281,222,739,67,423,37,1.67156087644003,5.56434003463595,0.504480084330999,3.18500112943302,0.278593479406671
2023-03-06,16129,286,852,58,649,69,1.77320354640709,5.28241056482113,0.359600719201438,4.02380804761609,0.427800855601711
2023-03-07,16808,276,1011,78,501,54,1.64207520228463,6.0149928605426,0.464064731080438,2.98072346501666,0.321275583055688
2023-03-08,15388,261,858,54,482,59,1.69612685209254,5.57577332986743,0.350922796984663,3.13231089160385,0.383415648557317
2023-03-09,15169,250,795,51,531,59,1.6480980947986,5.24095194145956,0.336212011338915,3.50056035335223,0.38895115037247
2023-03-10,14894,264,749,69,461,59,1.7725258493353,5.02887068618235,0.463273801530818,3.09520612327112,0.396132670874177
2023-03-11,11676,186,600,45,366,30,1.59301130524152,5.13874614594039,0.385405960945529,3.13463514902364,0.25693730729702
2023-03-12,13325,251,695,58,459,48,1.88367729831144,5.21575984990619,0.435272045028143,3.44465290806754,0.360225140712946
2023-03-13,18868,333,958,54,605,60,1.76489294042824,5.07737969048124,0.286198855204579,3.2064871740513,0.317998728005088
2023-03-14,17476,360,952,66,587,68,2.05996795605402,5.44747081712062,0.377660791943236,3.3588921950103,0.389105058365759
2023-03-15,17006,296,835,61,473,61,1.74056215453369,4.91003175349877,0.358696930495119,2.78137128072445,0.358696930495119
2023-03-16,15822,303,851,51,461,62,1.91505498672734,5.37858677790418,0.322335987864998,2.91366451776008,0.391859436228037
2023-03-17,15833,318,885,69,516,43,2.00846333607023,5.5895913598181,0.435798648392598,3.25901597928377,0.271584664940315
2023-03-18,13831,204,694,58,413,34,1.47494758151977,5.01771383124864,0.419347841804642,2.98604583905719,0.245824596919962
2023-03-19,14682,259,752,88,509,41,1.76406484130228,5.12191799482359,0.599373382372974,3.46683013213459,0.279253507696499
2023-03-20,18862,306,880,72,564,52,1.62230940515322,4.66546495599618,0.381719860036051,2.99013890361574,0.275686565581593
2023-03-21,18435,274,957,102,533,49,1.48630322755628,5.19121236777868,0.553295362082994,2.89123949010035,0.265798752373203
2023-03-22,19087,389,831,69,518,59,2.03803635982606,4.35374862471839,0.36150259338817,2.71388903442133,0.309110913186986
2023-03-23,16503,261,854,68,508,39,1.5815306307944,5.17481669999394,0.412046294613101,3.07822820093316,0.236320668969278
2023-03-24,17283,286,754,70,481,47,1.65480530000579,4.36266851819707,0.405022276225192,2.78308164091882,0.271943528322629
2023-03-25,19912,231,657,68,435,52,1.16010445962234,3.29951787866613,0.341502611490558,2.18461229409401,0.261149055845721
2023-03-26,20039,247,644,82,410,45,1.23259643694795,3.21373322022057,0.409202055990818,2.04601027995409,0.2245621038974
2023-03-27,25623,327,816,79,580,60,1.27619716660813,3.18463880107716,0.308316746672911,2.26359130468719,0.234164617726262
2023-03-28,20986,325,837,104,505,35,1.54865148194034,3.98837320118174,0.495568474220909,2.40636614886115,0.166777851901268
2023-03-29,24972,315,782,91,521,55,1.26141278231619,3.13150728816274,0.364408137113567,2.08633669710075,0.220246676277431
2023-03-30,21037,288,862,76,549,62,1.36901649474735,4.09754242525075,0.36126824166944,2.60968769311214,0.294718828730332
2023-03-31,18891,264,788,78,496,54,1.39749086866762,4.17129850193214,0.412895029379069,2.62558890476947,0.28585040495474
2023-04-01,17411,206,657,41,449,39,1.18316007121934,3.77347653782092,0.235483315145598,2.57882947561886,0.223996324162886
2023-04-02,15031,239,696,52,482,65,1.59004723571286,4.63043044374958,0.345951699820371,3.20670614064267,0.432439624775464
2023-04-03,18402,307,921,74,598,84,1.66829692424736,5.00489077274209,0.402130203238778,3.24964677752418,0.45647212259537
2023-04-04,17341,307,839,69,630,52,1.77037079753186,4.83824462257079,0.3979009284355,3.63300847701978,0.299867366357188
2023-04-05,16813,279,845,82,559,69,1.65943020281925,5.02587283649557,0.487717837387736,3.32480818414322,0.410396716826265
2023-04-06,15812,237,807,57,521,56,1.49886162408297,5.10371869466228,0.360485707057931,3.29496584872249,0.354161396407791
2023-04-07,15566,249,713,55,429,36,1.5996402415521,4.58049595271746,0.353334189901066,2.75600668122832,0.231273287935244
2023-04-08,13476,158,632,71,408,42,1.17245473434253,4.68981893737014,0.526862570495696,3.02760463045414,0.31166518254675
2023-04-09,13213,208,610,62,342,20,1.57420722016196,4.61666540528268,0.469234844471354,2.58835994853553,0.151366078861727
2023-04-10,16902,297,833,81,540,54,1.75718849840256,4.92841083895397,0.479233226837061,3.19488817891374,0.319488817891374
2023-04-11,18538,262,955,63,587,44,1.41331319451937,5.15158053727479,0.339842485705038,3.16646887474377,0.237350307476535
2023-04-12,17980,329,913,65,571,54,1.82981090100111,5.07786429365962,0.361512791991101,3.17575083426029,0.300333704115684
2023-04-13,17471,292,901,63,544,49,1.67134107950318,5.15711750901494,0.360597561673631,3.1137313261977,0.280464770190602
2023-04-14,16149,251,797,70,439,64,1.55427580655149,4.93529011084278,0.433463372345037,2.71843457799245,0.396309369001177
2023-04-15,13410,199,710,64,349,39,1.48396718866518,5.29455630126771,0.477255779269202,2.60253542132737,0.29082774049217
2023-04-16,14058,182,671,66,417,26,1.29463650590411,4.77308294209703,0.469483568075117,2.96628254374733,0.184948072272016
2023-04-17,17614,284,894,106,501,51,1.61235380946974,5.07550811854207,0.601794027478142,2.84432837515613,0.289542409447031
2023-04-18,18205,305,873,94,497,68,1.67536391101346,4.79538588299918,0.516341664377918,2.7300192254875,0.373523757209558
2023-04-19,18187,325,899,72,533,42,1.78699070764832,4.94309121900258,0.395887172155936,2.93066476054325,0.230934183757629
2023-04-20,17064,303,866,68,503,51,1.77566807313643,5.07501172058134,0.398499765588373,2.94772620721988,0.29887482419128
2023-04-21,15700,208,746,58,454,69,1.32484076433121,4.7515923566879,0.369426751592357,2.89171974522293,0.439490445859873
2023-04-22,13003,175,587,54,356,42,1.3458432669384,4.51434284395909,0.41528877951242,2.7378297316004,0.323002384065216
2023-04-23,14825,207,714,67,403,28,1.39629005059022,4.81618887015177,0.451939291736931,2.71838111298482,0.188870151770658
2023-04-24,17895,330,902,91,490,63,1.84409052808047,5.04051411008662,0.508521933500978,2.73819502654373,0.352053646269908
2023-04-25,17949,272,862,75,532,48,1.51540475792523,4.80249596077776,0.417850576633796,2.96395342358906,0.267424369045629
2023-04-26,18334,310,791,74,589,58,1.69084760554162,4.31438856768845,0.403621686484128,3.21261045052907,0.316352132649722
2023-04-27,17054,262,788,54,534,58,1.53629647003636,4.62061686407881,0.316641257183066,3.13123020992143,0.340096165122552
2023-04-28,19710,253,827,70,496,54,1.28361237950279,4.19583967529173,0.355149670218163,2.51648909183156,0.273972602739726
2023-04-29,21129,211,640,36,358,39,0.998627478820578,3.02901225803398,0.170381939514411,1.69435373183776,0.184580434473946
2023-04-30,20388,218,667,37,384,44,1.06925642534824,3.2715322738866,0.181479301549931,1.88346085932902,0.215813223464783
2023-05-01,23979,277,826,64,482,56,1.15517744693273,3.44468076233371,0.266900204345469,2.01009216397681,0.233537678802285
